Substrates,Allylic Substrates,Additive,Catalysts,base,b:l,Yield_origin,ee,doi,Yield
O=C1NC(C2=CC=CC=C21)=O,OC/C=C/COC(OC)=O,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,,,70,92,,70
O=CNC(OC(C)(C)C)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,93,91,,93
O=CNC(OC(C)(C)C)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,94,92,,94
O=CNC(OC(C)(C)C)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,,,90,89,,90
CC(C)(C)OC(NC(OC(C)(C)C)=O)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,92,95,,92
CC(C)(C)OC(NC(OC(C)(C)C)=O)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,93,97,,93
CC(C)(C)OC(NC(OC(C)(C)C)=O)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,,,79,98,,79
O=C1NC(C2=CC=CC=C21)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,88,91,,88
O=C1NC(C2=CC=CC=C21)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,90,93,,90
O=C1NC(C2=CC=CC=C21)=O,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,,,80,88,,80
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,O=C(OC/C=C/CCC(OC)=O)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,73,91,,73
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,O=C(OC/C=C/CCC(OC)=O)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,72,95,,72
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,O=C(OC/C=C/CCC(OC)=O)OC,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,,,70,96,,70
CC(C)(C)OC(NC(OC(C)(C)C)=O)=O,O=C(OC/C=C/CCC(OC)=O)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,85,98,,85
CC(C)(C)OC(NC(OC(C)(C)C)=O)=O,O=C(OC/C=C/CCC(OC)=O)OC,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,,,69,97,,69
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,O=C(OC)OC/C=C/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,99,99,,99
O=C1NC(C2=CC=CC=C21)=O,O=C(OC)OC/C=C/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,90,99,,90
O=C1NC(C2=CC=CC=C21)=O,O=C(OC)OC/C=C/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,82,94,,82
CC(=O)NC(=O)OC(C)(C)C,CCC/C=C/COC(=O)OCC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,95,96,10.1016/j.tetlet.2007.08.009,95
CC(=O)NC(=O)OC(C)(C)C,CCOC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,94,99,10.1016/j.tetlet.2007.08.009,94
CC(C)(C)OC(=O)NC(=O)OC(C)(C)C,CCC/C=C/COC(=O)OCC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,93,96,10.1016/j.tetlet.2007.08.009,93
CC(C)(C)OC(=O)NC(=O)OC(C)(C)C,CCOC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,90,99,10.1016/j.tetlet.2007.08.009,90
CC(C)(C)OC(=O)NC(=O)OCc1ccccc1,CCC/C=C/COC(=O)OCC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,94,96,10.1016/j.tetlet.2007.08.009,94
CC(C)(C)OC(=O)NC(=O)OCc1ccccc1,CCOC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,92,99,10.1016/j.tetlet.2007.08.009,92
O=C(NC(=O)OCc1ccccc1)OCc1ccccc1,CCC/C=C/COC(=O)OCC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,,,90,96,10.1016/j.tetlet.2007.08.009,90
CC(=O)NC(=O)OC(C)(C)C,CCC/C=C/COC(=O)OCC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,"K2CO3,MeOH",,95,97,10.1016/j.tetlet.2007.08.009,95
CC(=O)NC(=O)OC(C)(C)C,CCOC(=O)OC/C=C/C(C)C,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,"K2CO3,MeOH",,85,99,10.1016/j.tetlet.2007.08.009,85
CC(=O)NC(=O)OC(C)(C)C,C/C=C/C=C/COC(=O)OCC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,"K2CO3,MeOH",,92,96,10.1016/j.tetlet.2007.08.009,92
CC(=O)NC(=O)OC(C)(C)C,CCOC(=O)OC/C=C/CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,"K2CO3,MeOH",,94,99,10.1016/j.tetlet.2007.08.009,94
CC(=O)NC(=O)OC(C)(C)C,CCOC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,"K2CO3,MeOH",,94,99,10.1016/j.tetlet.2007.08.009,94
CC(=O)NC(=O)OC(C)(C)C,CCOC(=O)OC/C=C/c1ccc(OC)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,"K2CO3,MeOH",,92,99,10.1016/j.tetlet.2007.08.009,92
CC(=O)NC(=O)OC(C)(C)C,CCOC(=O)OC/C=C/c1ccco1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,"K2CO3,MeOH",,85,98.5,10.1016/j.tetlet.2007.08.009,85
CC(=O)NC(=O)OC(C)(C)C,CCOC(=O)OC/C=C/c1cccs1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,"K2CO3,MeOH",,80,,10.1016/j.tetlet.2007.08.009,80
CC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,93,99,10.1002/chem.201000467,93
Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1,COC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,90\10,83,99,10.1002/chem.201000467,74.7
CCCCC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,84,97,10.1002/chem.201000467,84
Cc1ccc(S(=O)(=O)NCC#Cc2ccccc2)cc1,COC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,89,99,10.1002/chem.201000467,89
CC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1ccc(C)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,76,99,10.1002/chem.201000467,76
CC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1ccc(OC)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,93,99,10.1002/chem.201000467,93
CC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1ccc(Br)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,95,99,10.1002/chem.201000467,95
CC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1ccc(C(F)(F)F)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,82,99,10.1002/chem.201000467,82
CC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1cccc(OC)c1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,85,99,10.1002/chem.201000467,85
CC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1cccc(Cl)c1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,86,99,10.1002/chem.201000467,86
CC#CCNS(=O)(=O)c1ccc(C)cc1,COC(=O)OC/C=C/c1cccs1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,83,99,10.1002/chem.201000467,83
CC#CCNS(=O)(=O)c1ccc(C)cc1,C/C=C/COC(=O)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,90\10,70,92,10.1002/chem.201000467,63
Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1,COC(=O)OC/C=C/c1ccc(C)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,76,99,10.1002/chem.201000467,76
Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1,COC(=O)OC/C=C/c1ccc(OC)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,92,99,10.1002/chem.201000467,92
Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1,COC(=O)OC/C=C/c1ccc(Br)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,90\10,84,98,10.1002/chem.201000467,75.6
Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1,COC(=O)OC/C=C/c1cccc(OC)c1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,91\9,77,98,10.1002/chem.201000467,70.07
Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1,COC(=O)OC/C=C/c1cccc(Cl)c1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,88\12,81,98,10.1002/chem.201000467,71.28
Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1,COC(=O)OC/C=C/c1cccs1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,,81,99,10.1002/chem.201000467,81
Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1,C/C=C/COC(=O)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,DABCO,90\10,82,92,10.1002/chem.201000467,73.8
C[Si](ONC(OC(C)(C)C)=O)(C)C(C)(C)C,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C12=NCCCN1CCCN2,,82,99,10.1021/ol200688d,82
C[Si](ONC(OC(C)(C)C)=O)(C)C(C)(C)C,CCCC/C=C/COC(OC)=O,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C12=NCCCN1CCCN2,,89,99,,89
C[Si](ONC(OC(C)(C)C)=O)(C)C(C)(C)C,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C12=NCCCN1CCCN2,,71,96,,71
CONC(OC(C)(C)C)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C12=NCCCN1CCCN2,,56,94,,56
CONC(OC(C)(C)C)=O,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,N12CCCN=C1CCCCC2,,75,98,,75
CONC(OC(C)(C)C)=O,C/C=C/COC(OC)=O,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C12=NCCCN1CCCN2,,75,98,,75
CONC(OC(C)(C)C)=O,CCCC/C=C/COC(OC)=O,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C12=NCCCN1CCCN2,,67,98,,67
CONC(OC(C)(C)C)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,C12=NCCCN1CCCN2,,71,97,,71
CONC(OC(C)(C)C)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,N12CCCN=C1CCCCC2,,79,98,,79
CONC(OC(C)(C)C)=O,O=C(OC/C=C/COCC1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,N12CCCN=C1CCCCC2,,51,91,,51
